address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,description,evidence,aliases,generated
0x00D4,0x00D5,inverse_period_rpm_word,ram,u16,2,16,,,,speed-rpm,confirmed,Inverse-period RPM-like word derived from engine period 0x00BA.,decoded producer/consumer instruction flow,,false
0x00D9,0x00DA,captured_timer_value,ram,u16be,2,16,,,,scheduler,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00FD,0x00FD,math_work_lo,ram,u8,1,8,,,,math,confirmed,Low byte / pointer scratch used by multiply helpers.,decoded producer/consumer instruction flow,,false
0x00FE,0x00FE,math_work_hi,ram,u8,1,8,,,,math,confirmed,High byte scratch used by multiply helpers.,decoded producer/consumer instruction flow,,false
0x00FF,0x00FF,math_work_ext,ram,u8,1,8,,,,math,confirmed,Extension byte used by saturating multiply/shift helpers.,decoded producer/consumer instruction flow,,false
0x1000,0x1000,PORTA,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1008,0x1008,PORTD,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1009,0x1009,DDRD,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x100B,0x100B,CFORC,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x100E,0x100E,TCNT,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1014,0x1014,TIC3,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1016,0x1017,TOC1,mcu_io,u16,2,16,,,,mcu,confirmed-family,68HC11 timer output compare 1 register.,decoded producer/consumer instruction flow,,false
0x1018,0x1019,TOC2,mcu_io,u16,2,16,,,,mcu,confirmed-family,68HC11 timer output compare 2 register.,decoded producer/consumer instruction flow,,false
0x101A,0x101B,TOC3,mcu_io,u16,2,16,,,,mcu,confirmed-family,68HC11 timer output compare 3 register.,decoded producer/consumer instruction flow,,false
0x101C,0x101C,TOC4,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1020,0x1020,TCTL1,mcu_io,u8,1,8,,,,mcu,confirmed-family,68HC11 output compare action control register.,decoded producer/consumer instruction flow,,false
0x1022,0x1022,TMSK1,mcu_io,u8,1,8,,,,mcu,confirmed-family,68HC11 timer interrupt mask 1 register.,decoded producer/consumer instruction flow,,false
0x1023,0x1023,TFLG1,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1024,0x1024,TMSK2_or_status,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1025,0x1025,TFLG2,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1028,0x1028,SPCR,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1029,0x1029,SPSR,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102A,0x102A,SPDR,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102B,0x102B,BAUD,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102C,0x102C,SCCR1,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102D,0x102D,SCCR2,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102E,0x102E,SCSR,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x102F,0x102F,SCDR,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1030,0x1030,ADCTL,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1031,0x1031,ADR1,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1032,0x1032,ADR2,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1033,0x1033,ADR3,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1034,0x1034,ADR4,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x103A,0x103A,COPRST,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x103B,0x103B,SERVICE_IO_103B,mcu_io,u8,1,8,,,,hardware-service,strong,Extended service/serial transfer register used by the 0xBD6E state machine.,decoded producer/consumer instruction flow,,false
0x103D,0x103D,INIT,mcu_io,register,1,8,,,,mcu,confirmed-family,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1040,0x1040,EXT_IO_1040,mcu_io,u8,1,8,,,,external-asic,open,External ASIC/I/O register block used by hardware service code.,decoded producer/consumer instruction flow,,false
0x1050,0x1050,EXT_IO_1050,mcu_io,u8,1,8,,,,external-asic,strong,External ASIC/I/O register; idle path toggles bit 0x04.,decoded producer/consumer instruction flow,,false
0x1060,0x1060,EXT_IO_1060,mcu_io,u8,1,8,,,,external-asic,open,External ASIC/I/O register block used by hardware scan code.,decoded producer/consumer instruction flow,,false
0x1080,0x1080,EXT_IO_1080,mcu_io,u8,1,8,,,,external-asic,open,External ASIC/I/O register block used by hardware scan code.,decoded producer/consumer instruction flow,,false
0x2007,0x2007,adc_processed_input_2007,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2008,0x2008,adc_raw_input_2008,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200A,0x200A,adc_raw_input_200a,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200C,0x200C,adc_raw_input_200c,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200D,0x200D,adc_raw_input_200d,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200E,0x200E,adc_raw_input_200e,ram,variable,1,8,,,,sensors,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2013,0x2013,processed_sensor_2013,ram,variable,1,8,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2014,0x2015,load_model_working_2014,ram,u16,2,16,,,,air-load,strong,Modeled load/air-charge working value and source for load-rise/state-delay logic.,decoded producer/consumer instruction flow,,false
0x2017,0x2017,positive_load_delta_2017,ram,u8,1,8,,,,air-load,confirmed,"Clamped positive difference max(0, 0x00C9-0x0011) used by the 0x9291 axis.",decoded producer/consumer instruction flow,,false
0x2030,0x2031,transient_working_axis_2030,ram,s16,2,16,,,,fuel-transient,strong,Signed/limited transient working axis.,decoded producer/consumer instruction flow,,false
0x2034,0x2035,normalized_load_axis,ram,q8.8,2,16,,,,air-load,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2036,0x2037,normalized_rpm_axis,ram,q8.8,2,16,,,,speed-rpm,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2038,0x2039,iat_axis_index,ram,q8.8,2,16,,,,temperature,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x203C,0x203D,cts_axis_index,ram,q8.8,2,16,,,,temperature,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x203E,0x203F,cts_axis_fraction_or_value,ram,q8.8,2,16,,,,temperature,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2040,0x2041,shared_scheduler_axis_2040,ram,q8.8,2,16,,,,scheduler,confirmed,Shared 8.8 axis derived from filtered 0x00CC and used by scheduler/fuel support vectors.,decoded producer/consumer instruction flow,scheduler_axis_index,false
0x2042,0x2043,transient_helper_axis,ram,q8.8,2,16,,,,axes,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2044,0x2045,rpm_site_index_19,ram,q8.8,2,16,,,,speed-rpm,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2046,0x2047,spark_transition_axis,ram,q8.8,2,16,,,,ignition,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2048,0x2048,scheduler_signed_correction_2048,ram,s8,1,8,,,,scheduler,strong,Signed scheduler support result from the 0x9303 subvector.,decoded producer/consumer instruction flow,,false
0x2049,0x2049,fast_lambda_fuel_correction_2049,ram,u8,1,8,,,,closed-loop,strong,Fast fuel correction selected from 0x84E3 by shared axis 0x2040.,decoded producer/consumer instruction flow,,false
0x204A,0x204A,iat_rpm_fuel_correction_a_204a,ram,s8,1,8,,,,fuel,confirmed,Signed output from 0x802B IAT/RPM correction table.,decoded producer/consumer instruction flow,,false
0x204B,0x204C,summed_fuel_correction,ram,s16,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x204D,0x204D,iat_rpm_fuel_correction_b_204d,ram,s8,1,8,,,,fuel,confirmed,Signed output from 0x8103 IAT/RPM correction table.,decoded producer/consumer instruction flow,,false
0x204E,0x204F,fuel_blend_word_204e,ram,u16,2,16,,,,fuel,strong,Nonnegative blend/scale term derived from correction B.,decoded producer/consumer instruction flow,,false
0x2050,0x2050,signed_fuel_correction_2050,ram,s8,1,8,,,,fuel,strong,Additional signed correction combined into the central fuel stack.,decoded producer/consumer instruction flow,,false
0x2051,0x2052,corrected_fuel_charge_2051,ram,u16,2,16,,,,fuel,strong,Corrected fuel/charge value in the final duration calculation.,decoded producer/consumer instruction flow,,false
0x2053,0x2053,fuel_multiplier_2053,ram,u8,1,8,,,,fuel,strong,Multiplier-style correction applied to the fuel accumulator.,decoded producer/consumer instruction flow,,false
0x2055,0x2056,transient_fuel_add_a_2055,ram,u16,2,16,,,,fuel-transient,strong,First additive transient enrichment term.,decoded producer/consumer instruction flow,,false
0x2057,0x2058,transient_fuel_add_b_2057,ram,u16,2,16,,,,fuel-transient,strong,Second additive transient enrichment term.,decoded producer/consumer instruction flow,,false
0x2059,0x2059,afterstart_state_2059,ram,u8,1,8,,,,fuel-warmup,confirmed,Warmup/afterstart state selector.,decoded producer/consumer instruction flow,,false
0x2060,0x2061,afterstart_timer_2060,ram,u16,2,16,,,,fuel-warmup,strong,Afterstart timer/countdown working value.,decoded producer/consumer instruction flow,,false
0x2062,0x2062,afterstart_count_2062,ram,u8,1,8,,,,fuel-warmup,strong,Afterstart counter.,decoded producer/consumer instruction flow,,false
0x2084,0x2084,signed_fuel_trim_raw,ram,variable,1,8,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2085,0x2085,warmup_fuel_correction_2085,ram,u8,1,8,,,,fuel-warmup,strong,CTS-indexed warmup fuel correction.,decoded producer/consumer instruction flow,,false
0x2086,0x2087,fuel_edge_deadline_term,ram,u16be,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2090,0x2090,closed_loop_state_2090,ram,u8,1,8,,,,closed-loop,confirmed,Closed-loop/adaptive state.,decoded producer/consumer instruction flow,,false
0x2091,0x2092,closed_loop_integrator_2091,ram,u16,2,16,,,,closed-loop,strong,Closed-loop/adaptive integrator accumulator.,decoded producer/consumer instruction flow,,false
0x2093,0x2093,closed_loop_base_2093,ram,s8,1,8,,,,closed-loop,strong,Base closed-loop correction selected from the 0x9000 vector group.,decoded producer/consumer instruction flow,,false
0x2094,0x2094,learned_trim_cell_a_2094,ram,s8,1,8,,,,closed-loop,confirmed,Interpolated learned correction from RAM cell table 0x0060.,decoded producer/consumer instruction flow,,false
0x2095,0x2095,learned_trim_cell_b_2095,ram,s8,1,8,,,,closed-loop,confirmed,Interpolated learned correction from RAM cell table 0x0069.,decoded producer/consumer instruction flow,,false
0x2096,0x2096,closed_loop_delay_2096,ram,u8,1,8,,,,closed-loop,strong,Closed-loop delay/count selected from 0x9033.,decoded producer/consumer instruction flow,,false
0x2099,0x2099,closed_loop_dynamic_2099,ram,s8,1,8,,,,closed-loop,strong,Dynamic load-change correction from 0x9068.,decoded producer/consumer instruction flow,,false
0x209A,0x209A,closed_loop_ramp_209a,ram,s8,1,8,,,,closed-loop,strong,Closed-loop ramp/target term from 0x9073/0x90D6.,decoded producer/consumer instruction flow,,false
0x209B,0x209B,closed_loop_mode_add_209b,ram,s8,1,8,,,,closed-loop,strong,Mode-dependent additive closed-loop term.,decoded producer/consumer instruction flow,,false
0x20A2,0x20A3,closed_loop_total_20a2,ram,s16,2,16,,,,closed-loop,strong,Synthesized closed-loop/adaptive command value.,decoded producer/consumer instruction flow,,false
0x20A4,0x20A5,closed_loop_command_20a4,ram,s16,2,16,,,,closed-loop,strong,Closed-loop control command.,decoded producer/consumer instruction flow,,false
0x20A6,0x20A7,closed_loop_command_20a6,ram,s16,2,16,,,,closed-loop,strong,Closed-loop control command after proportional/integral processing.,decoded producer/consumer instruction flow,,false
0x20A8,0x20A8,closed_loop_reference_20a8,ram,u8,1,8,,,,closed-loop,strong,Closed-loop reference or threshold working value.,decoded producer/consumer instruction flow,,false
0x20B1,0x20B1,spark_fuel_bank_selector,ram,variable,1,8,,,,ignition,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x20B9,0x20BA,adaptive_fuel_trim_word,ram,q8.8-centered,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2147,0x2148,spark_accumulator,ram,s16,2,16,,,,ignition,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x214F,0x214F,alternate_limiter_mode,ram,variable,1,8,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x21A6,0x21A6,operating_state_selector,ram,variable,1,8,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x21C6,0x21C7,fuel_event_phase_runtime,ram,u16be,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2388,0x2389,scheduler_scaled_output,ram,u16be,2,16,,,,scheduler,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2391,0x2391,fuel_cut_state_countdown,ram,variable,1,8,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2484,0x2484,idle_air_target,ram,variable,1,8,,,,idle,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2486,0x2486,idle_cts_target_or_cap,ram,variable,1,8,,,,idle,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x24E5,0x24E6,main_loop_elapsed_max_or_budget,ram,u16be,2,16,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x24E7,0x24E8,main_loop_previous_timer,ram,u16be,2,16,,,,scheduler,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x24EA,0x24EB,main_loop_saved_sp,ram,u16be,2,16,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x25BA,0x25BB,descriptor_word_25ba,ram,u16,2,16,,,,math,confirmed,Cached masked 12-bit descriptor word.,decoded producer/consumer instruction flow,,false
0x25BF,0x25C0,descriptor_delta_limit_25bf,ram,u16,2,16,,,,math,strong,Limit used when comparing descriptor-word deltas.,decoded producer/consumer instruction flow,,false
0x4017,0x4033,adc_sample_group_a,routine,code,,8,,,,sensors,confirmed,Read ADC result group and seed RAM input channels.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x4034,0x4078,adc_sample_group_b,routine,code,,8,,,,sensors,confirmed,Read alternate ADC result group and seed RAM input channels.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x4079,0x409B,clear_runtime_axis_state,routine,code,,,,,,initialization,confirmed,Clear normalized-axis and runtime working state used by the first control iteration.,decoded instruction flow at 0x4079; caller/callee context,,false
0x409C,0x40A7,latch_initial_load_state,routine,code,,,,,,initialization,confirmed,Copy the current load/air-charge word into startup history and display working values.,decoded instruction flow at 0x409C; caller/callee context,,false
0x40A8,0x40E4,initialize_filtered_temperature_channels,routine,code,,,,,,sensors,strong,Initialize/filter the 0x2008 and 0x200A analog paths into the 0x2122/0x2124 filter words.,decoded instruction flow at 0x40A8; caller/callee context,,false
0x40E5,0x4153,sample_adc_group_a_runtime,routine,code,,,,,,sensors,strong,Runtime ADC sequence for the 0x2008/0x200A channel group with interrupt masking and accumulator update.,decoded instruction flow at 0x40E5; caller/callee context,,false
0x4155,0x4169,adc_filter_helper_4155,routine,code,,8,,,,sensors,strong,ADC preprocessing helper used by the 0x200D path.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x416B,0x41A0,update_adc_200e_filter_and_load_axis,routine,code,,,,,,sensors,strong,"Filter the 0x200E analog path, update difference accumulation, and continue into load-axis preparation.",decoded instruction flow at 0x416B; caller/callee context,,false
0x41A1,0x41B0,build_load_axis_2034,routine,code,,8,,,,air-load,confirmed,Build normalized load/MAP-like axis in RAM 0x2034.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x41B2,0x41D4,scale_sensor_word_with_929b_929c,routine,code,,,,,,math,confirmed,"Scale a 16-bit input using calibration byte 0x929B and offset word 0x929C, returning a saturated byte-like result.",decoded instruction flow at 0x41B2; caller/callee context,,false
0x41D6,0x4212,build_transient_axis_2042,routine,code,,8,,,,axes,confirmed,Build normalized transient/helper axis in RAM 0x2042.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x4214,0x4290,update_adaptive_sensor_baseline,routine,code,,,,,,sensors,strong,Maintain low-RAM sensor baseline/minimum state using thresholds and timers in the 0x8990/0x9102 area.,decoded instruction flow at 0x4214; caller/callee context,,false
0x4292,0x42CE,derive_inverse_period_speed_values,routine,code,,,,,,speed-rpm,confirmed,Derive inverse-period RPM-like working values 0x00D4/0x00D3 and preserve previous samples.,decoded instruction flow at 0x4292; caller/callee context,,false
0x42D0,0x4318,update_load_sensor_snapshot,routine,code,,,,,,sensors,strong,Conditionally capture load and analog input snapshots into 0x2022/0x2012 and restore defaults when invalid.,decoded instruction flow at 0x42D0; caller/callee context,,false
0x431A,0x433F,preprocess_cts_path,routine,code,,8,,,,temperature,strong,Preprocess temperature channel used by the CTS-like axis path.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x4340,0x4368,convert_cts_axis,routine,code,,8,,,,temperature,confirmed,Use calibration 0x92CF through the axis helper to produce 0x203C/0x203E.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x436A,0x438F,preprocess_iat_path,routine,code,,8,,,,temperature,strong,Preprocess temperature channel used by the IAT-like axis path.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x4390,0x43B8,convert_iat_axis,routine,code,,8,,,,temperature,confirmed,Use calibration 0x92D9 through the axis helper to produce 0x2038/0x203A.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x43BA,0x43DA,update_filtered_o2_and_shared_axis,routine,code,,,,,,closed-loop,strong,"Update filtered 0x00CC from the 0x200C candidate input, then rebuild shared axis 0x2040.",decoded instruction flow at 0x43BA; caller/callee context,,false
0x43DC,0x43F1,sample_and_filter_o2_candidate,routine,code,,,,,,closed-loop,strong,Read/check the 0x200C analog candidate and apply the configured filter coefficient into the 0x00CC path.,decoded instruction flow at 0x43DC; caller/callee context,,false
0x43F3,0x4403,build_shared_axis_2040,routine,code,,,,,,scheduler,confirmed,"Compute 0x2040 = max(0x00CC - 0x8000, 0) >> 4.",decoded instruction flow at 0x43F3; caller/callee context,,false
0x4405,0x440B,clear_external_output_request,routine,code,,,,,,outputs,confirmed,Clear bit 0x01 at extended I/O offset 0x40 from base 0x1000.,decoded instruction flow at 0x4405; caller/callee context,,false
0x440D,0x441F,sub_440D,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x4421,0x4460,sub_4421,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x4461,0x4536,sub_4461,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x4538,0x4554,sub_4538,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x4556,0x4562,sub_4556,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x4564,0x45AE,sub_4564,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x45B0,0x45B6,sub_45B0,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x45B8,0x45CA,sub_45B8,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x45CC,0x45D2,sub_45CC,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x45D4,0x45F1,sub_45D4,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x45F3,0x4608,sub_45F3,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0x460A,0x4640,sub_460A,routine,unclassified-code,,,,,,unknown,unclassified,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
